english,urdu,punjabi,marathi,malayalam,kannada,hindi,gujarati,bengali,telugu
abdominal pain,پیٹ کا درد,ਪੇਟ ਦਰਦ,पोटदुखी,വയറുവേദന,ಹೊಟ್ಟೆ ನೋವು,पेट में दर्द,પેટ નો દુખાવો,পেট ব্যথা,కడుపు నెప్పి
aches and pains,دکھ اور درد,ਦਰਦ ਅਤੇ ਦਰਦ,ठणका व वेदना,വേദനയും വേദനയും,ನೋವು ಮತ್ತು ನೋವು,दर्द एवं पीड़ा,પીડા અને દુખાવો,ব্যথা এবং যন্ত্রণা,పోట్లు నెప్పులు
agitation,تحریک,ਅੰਦੋਲਨ,आंदोलन,പ്രക്ഷോഭം,ಚಳವಳಿ,आंदोलन,આંદોલન,চাগাড়,ఆందోళన
anorexia,اندوری,ਆਕਸੀਕਰਨ,एनोरेक्सिया,അനോറിസിയ,ಅನೋರೆಕ್ಸಿಯಾ,एनोरेक्सिया,ઍનોરેક્સિયા,ক্ষুধাহীনতা,ఆకలి నష్టం
arthritis,گٹھری,ਗਠੀਏ,संधिवात,വാതം,ಸಂಧಿವಾತ,गठिया,સંધિવા,বাত,కీళ్ళనొప్పులు
back pain,کمر درد,ਪਿਠ ਦਰਦ,पाठदुखी,പുറം വേദന,ಬೆನ್ನು ನೋವು,पीठ दर्द,પીઠનો દુખાવો,পিঠে ব্যাথা,వెన్నునొప్పి
bleeding,خون بہاؤ,ਖੂਨ ਨਿਕਲਣਾ,रक्तस्त्राव,രക്തസ്രാവം,ರಕ್ತಸ್ರಾವ,खून बह रहा है,રક્તસ્રાવ,যুদ্ধপীড়িত,రక్తస్రావం
breathlessness,سانس لینے,ਸਾਹ ਚੜਨਾ,श्वास,ശ്വാസതടസ്സം,ಉಸಿರುತನ,सांस फूलना,શ્વાસ,ঊর্ধ্বশ্বাস,ఊపిరి
chest discomfort,سینے تکلیف,ਛਾਤੀ ਬੇਆਰਾਮੀ,छातीत अस्वस्थता,നെഞ്ച് അസ്വസ്ഥത,ಎದೆ ಅಸ್ವಸ್ಥತೆ,सीने में बेचैनी,છાતી અસ્વસ્થતા,বুকে অস্বস্তি,ఛాతీ అసౌకర్యం
chest pain,سینے کا درد,ਛਾਤੀ ਦੇ ਦਰਦ,छाती दुखणे,നെഞ്ച് വേദന,ಎದೆ ನೋವು,छाती में दर्द,છાતીનો દુખાવો,বুক ব্যাথা,ఛాతి నొప్పి
chills,chills,ਠੰਢ,थंड,ചില്ലുകൾ,ಶೀತ,ठंड लगना,ઠંડી,শরীর ঠান্ডা হয়ে যাওয়া,చలి
cold,سردی,ਠੰਡੇ,थंड,തണുപ്പ്,ಶೀತ,सर्दी,ઠંડા,ঠান্ডা,రొంప
cold extremities,سرد انتہا پسندی,ਠੰਡੇ ਬੰਦ,थंड extremities,ശീതകാലം,ಶೀತದ ತುದಿಗಳು,ठंडे extremities,ઠંડા અંતર,ঠান্ডা extremities,అవయవాలు చల్లపడటం
confusion,الجھن,ਉਲਝਣ,गोंधळ,ആശയക്കുഴപ്പം,ಗೊಂದಲ,उलझन,મૂંઝવણ,বিশৃঙ্খলা,గందరగోళం
conjunctivitis,conjunctivitis,ਕੰਨਜਕਟਿਵਾਇਟਿਸ,कॉंजेंटिव्हायटीस,സംഭോഗം,ಕಂಜಂಕ್ಟಿವಿಟಿಸ್,आँख आना,conjunctivitis,নেত্রবর্ত্মকলাপ্রদাহ,కండ్లకలక
cough,کھانسی,ਖੰਘ,खोकला,ചുമ,ಕೆಮ್ಮು,खांसी,ઉધરસ,কাশি,దగ్గు
cramps,درد,ਦਵਾਈਆਂ,अडथळे,തകരാറുകൾ,ಸೆಳೆತ,ऐंठन,ખેંચાણ,বাধা,తిమ్మిరి
dark urine,سیاہ پیشاب,ਕਾਲੇ ਪਿਸ਼ਾਬ,गडद मूत्र,ഇരുണ്ട മൂത്രം,ಡಾರ್ಕ್ ಮೂತ್ರ,अंधेरा मूत्र,શ્યામ પેશાબ,অন্ধকার প্রস্রাব,కృష్ణ మూత్రం
debility,ابلاغ,ਕਮਜ਼ੋਰੀ,दुर्बलता,കഷ്ടത,ದುರ್ಬಲತೆ,दुर्बलता,ડેબિલિટી,দৌর্বল্য,బలహీనత
delirium,Delirium,ਕੁਰਬਾਨੀ,चक्रीवादळ,delirium,ಸನ್ನಿವೇಶ,प्रलाप,ચિત્તભ્રમણા,প্রলাপ,సన్నిపాతం
diarrhea,اسہال,ਦਸਤ,अतिसार,അതിസാരം,ಅತಿಸಾರ,दस्त,ઝાડા,অতিসার,అతిసారం
dry cough,خشک کھانسی,ਖੁਸ਼ਕ ਖੰਘ,कोरडा खोकला,വരണ്ട ചുമ,ಒಣ ಕೆಮ್ಮು,सूखी खांसी,શુષ્ક ઉધરસ,শুষ্ক কাশি,పొడి దగ్గు
eye pain,آنکھیں درد,ਅੱਖ ਦਾ ਦਰਦ,डोळा वेदना,കണ്ണ് വേദന,ಕಣ್ಣಿನ ನೋವು,आंख का दर्द,આંખનો દુખાવો,চোখ ব্যাথা,కంటి నొప్పి
fatigue,تھکاوٹ,ਥਕਾਵਟ,थकवा,ക്ഷീണം,ಆಯಾಸ,थकान,થાક,অবসাদ,అలసట
fever,بخار,ਬੁਖ਼ਾਰ,ताप,പനി,ಜ್ವರ,बुखार,તાવ,জ্বর,జ్వ ర ము
hallucinations,سلامتی,ਮਨੋ-ਭਰਮ,भेदभाव,ഭിത്തികൾ,ಭ್ರಮೆಗಳು,दु: स्वप्न,ભ્રામકતા,হ্যালুসিনেশন,భ్రాంతులు
headache,سر درد,ਸਿਰ ਦਰਦ,डोकेदुखी,തലവേദന,ತಲೆನೋವು,सरदर्द,માથાનો દુખાવો,মাথা ব্যাথা,తలనొప్పి
joint pain,جوڑوں کا درد,ਜੋੜ ਦਰਦ,सांधे दुखी,സന്ധി വേദന,ಕೀಲು ನೋವು,जोड़ों का दर्द,સાંધાનો દુખાવો,সংযোগে ব্যথা,కీళ్ళ నొప్పి
joint swelling,مشترکہ سوجن,ਸੰਯੁਕਤ ਸੋਜ਼ਿਸ਼,संयुक्त सूज,ജോയിന്റ് വീക്കം,ಜಂಟಿ ಊತ,जोड़ का सूजन,સંયુક્ત સોજો,যৌথ সূত্র,కీళ్ళ వాపు
lethargy,مہلک,ਸੁਸਤੀ,सुस्तपणा,മണ്ണിര,ಜಡತ್ವ,सुस्ती,સુસ્તી,তন্দ্রা,బద్ధకం
loss of appetite,بھوک میں کمی,ਭੁੱਖ ਦੇ ਨੁਕਸਾਨ,भूक न लागणे,വിശപ്പ് നഷ്ടം,ಹಸಿವಿನ ನಷ್ಟ,भूख में कमी,ભૂખ ની ખોટ,ক্ষুধামান্দ্য,ఆకలి నష్టం
malaise,گھریلو,ਬੇਚੈਨੀ,मालाज,അസുഖം,ಅಸ್ವಸ್ಥತೆ,अस्वस्थता,મલાઈઝ,অসুস্থতাবোধ,ఆయాసం
malnutrition,غذائیت,ਕੁਪੋਸ਼ਣ,कुपोषण,പോഷകാഹാരക്കുറവ്,ಅಪೌಷ್ಟಿಕತೆ,कुपोषण,કુપોષણ,অপুষ্টি,పోషకాహారలోపం
muscle weakness,پٹھوں کی کمزوری,ਮਾਸਪੇਸ਼ੀ ਦੀ ਕਮਜ਼ੋਰੀ,स्नायू कमजोरी,പേശി ബലഹീനത,ಸ್ನಾಯು ದೌರ್ಬಲ್ಯ,मांसपेशी में कमज़ोरी,સ્નાયુ નબળાઈ,পেশীর দূর্বলতা,కండరాల బలహీనత
nasal discharge,ناک خارج ہونے والا مادہ,ਨਾਸੀ ਡਿਸਚਾਰਜ,नाक डिस्चार्ज,നാസൽ ഡിസ്ചാർജ്,ಮೂಗಿನ ಡಿಸ್ಚಾರ್ಜ್,नाक बहना,નાક સ્રાવ,নাক পরিষ্কার করা,రొంప
nausea,نیزا,ਮਤਲੀ,मळमळ,ഓക്കാനം,ವಾಕರಿಕೆ,जी मिचलाना,ઉબકા,বমি বমি ভাব,వికారం
pale,پیلا,ਪੀਲੇ,फिकट,വിളറിയ,ತೆಳು,पीला,નિસ્તેજ,ম্লান,లేత
palpitations,کھوٹا,ਧੱਫ਼ੜ,palpitations,വിദ്വേഷം,ಉಬ್ಬರವಿಳಿತಗಳು,धड़कन,પલપ્ટેશન,বুক ধড়ফড়,దడ
photophobia,فوٹوفوبیا,ਫੋਟਫੋਬੀਆ,फोटोफोबिया,ഫോട്ടോഫോബിയ,ಫೋಟೋಫೋಬಿಯಾ,प्रकाश की असहनीयता,ફોટોફોબીયા,আলোকাতঙ্ক রোগ,కాంతిభీతి
restlessness,بے معنی,ਬੇਚੈਨੀ,अस्वस्थता,വിശ്രമം,ಚಡಪಡಿಕೆ,बेचैनी,અસ્વસ્થતા,অস্থিরতা,విశ్రాంతి లేకపోవడం
rigors,نٹھرتا,ਮਿਹਨਤ,rigors,രോഷം,ತೀವ್ರತೆಗಳು,कठोरता,કઠોરતા,কঠোরতা,వణుకుడు
running nose,بہتی ناک,ਚੱਲ ਰਹੇ ਨੱਕ,वाहती सर्दी,മൂക്കൊലിപ്പ്,ಸೋರುವ ಮೂಗು,बहता नाक,વહેતી નાક,চলমান নাক,జలుబు
seizures,پریشان,ਦੌਰੇ,दौरे,പിടികൂടുക,ರೋಗಗ್ರಸ್ತವಾಗುವಿಕೆಗಳು,बरामदगी,હુમલાઓ,হৃদরোগের,కంపము
shock,جھٹکا,ਸਦਮਾ,धक्का,ഞെട്ടൽ,ಆಘಾತ,झटका,આંચકો,অভিঘাত,మూర్ఛ
shoulder pain,کندھے درد,ਮੋਢੇ ਦਾ ਦਰਦ,खांदा वेदना,തോളിൽ വേദന,ಭುಜದ ನೋವು,कंधे का दर्द,ખભા પીડા,কাঁধে ব্যথা,భుజం నొప్పి
skin rash,جلد کی رگڑ,ਚਮੜੀ ਦੇ ਧੱਫੜ,त्वचा फोड,തൊലി രശ്മി,ಚರ್ಮದ ತುಂಡು,त्वचा के लाल चकत्ते,ત્વચા ફોલ્લીઓ,চামড়া ফুসকুড়ি,చర్మం పై దద్దుర్లు
sore throat,گلے کی سوزش,ਗਲੇ ਵਿੱਚ ਖਰਾਸ਼,घसा दुखणे,തൊണ്ടവേദന,ಗಂಟಲು ಕೆರತ,गले में खराश,સુકુ ગળું,গলা ব্যথা,గొంతు మంట
sputum,اسپتم,ਥੁੱਕ,कपाट,സ്പാട്ട്,ಕವಚ,थूक,શુક્રાણુ,থুতু,కఫం
stiffness of limbs,انگوٹھے کی سختی,ਅੰਗਾਂ ਦੀ ਕਠੋਰਤਾ,अंगांचा कडकपणा,കൈകാലുകളുടെ ദൃഢത,ಅಂಗಗಳ ಠೀವಿ,अंगों की कठोरता,અંગોની કઠોરતા,অঙ্গরাগ শক্ত,అవయవాల  బిగువు
stupor,بیوکوف,ਘਬਰਾਹਟ,मूर्ख,മന്ദബുദ്ധി,ಸಂಶಯ,व्यामोह,મૂર્ખ,অসাড়তা,సగము తెలివితో
sweating,پسینہ,ਪਸੀਨੇ,घाम येणे,വിയർപ്പ്,ಬೆವರುವುದು,पसीना आना,પરસેવો,ঘাম,స్వేద
urine volume low,پیشاب کی مقدار کم ہے,ਪੇਸ਼ਾਬ ਵਾਲੀਅਮ ਘੱਟ,मूत्र वायू कमी,മൂത്രത്തിന്റെ അളവ് കുറവാണ്,ಮೂತ್ರದ ಪ್ರಮಾಣ ಕಡಿಮೆ,मूत्र की मात्रा कम है,પેશાબની માત્રા ઓછી છે,প্রস্রাব কম পরিমাণে,మూత్ర పరిమాణం తక్కువ
vomiting,الٹی,ਉਲਟੀਆਂ,उलट्या,ഛർദ്ദി,ವಾಂತಿ,उल्टी,ઉલ્ટી,বমি,వాంతులు
weight loss,وزن میں کمی,ਵਜ਼ਨ ਘਟਾਉਣਾ,वजन कमी होणे,ഭാരനഷ്ടം,ತೂಕ ಇಳಿಕೆ,वजन घटना,વજનમાં ઘટાડો,ওজন কমানো,బరువు నష్టం
weakness,کمزوری,ਕਮਜ਼ੋਰੀ,अशक्तपणा,ബലഹീനത,ದೌರ್ಬಲ್ಯ,दुर्बलता,નબળાઇ,দুর্বলতা,బలహీనత
wheeze,پہلو,ਵ੍ਹਸਜ਼,चोळणे,wheeze,ಗಾಳಿ,व्हीज़,વ્હીઝ,সাঁসাঁ করিয়া নিঃশ্বাস ফেলা,గురక
